Year,geo,time,final_cons,ths_wpeople,long_int,deflated_GDP,va_thwokers,env_consu,env_total,env_inv,gfcf,gfcf_pub,short_int,ths_whour.y,north_south_dummy,Population,Real_GDP_per_capita
1998,ES,1998,134170.2146,15223.3,4.832926498,795895.5181,52.28140535,2772.855417,6620.59145,1656.262586,186147.2297,30782.60744,4.242,26657610,0,40223509,19786.82462
1998,BE,1998,64746.70174,3973.9,4.751666667,306928.2687,77.23603228,794.7706166,2243.878459,560.670679,67315.82234,6318.572548,3.558333,6255707,1,10203008,30082.13545
1998,DE,1998,465476.5385,38495,4.573801224,2437284.876,63.3143233,4173.001023,17011.52366,5237.782001,559435.755,56264.92228,3.544167,57917528,1,82047195,29705.8891
1998,BG,1998,5247.339293,3467.92,,28602.80971,8.247828585,90.03831418,265.4320988,63.85696041,8219.484887,1011.707109,,5722002,0,8256786,3464.15781
1998,SI,1998,4702.465975,886.74,,26660.28837,30.06550778,38.00026951,161.0295108,44.0641423,5406.213672,985.7162108,,1532548,0,1981629,13453.72336
1998,CH,1998,51207.42209,3950.72,3.044583333,451791.7284,114.356808,792.6778487,3512.667189,1130.802672,196539.9346,14944.61749,,6698582,1,7110001,63543.13148
1998,DK,1998,53580.97672,2712.12,4.937583333,222059.5917,81.87675755,745.3171951,1257.126007,113.5948777,359139.7835,5993.007386,4.272079,3908531,1,5304219,41864.71028
1998,FR,1998,388110.1487,24382,4.640208333,1716141.985,70.38561171,7085.952271,10715.28949,2898.078594,343709.4384,63745.84802,3.557108,38652533,0,60192790,28510.7566
1998,SK,1998,9933.629717,2118.87,,42843.1765,20.21982307,311.4135817,470.9129601,49.51433809,20724.67921,2057.268073,,3860286,1,5390516,7947.880407
1998,EA20,1998,1651375.231,137193.68,,8462214.248,61.68078769,24250.06609,61070.05022,16394.13164,,261039.6511,,230474322,,,
1998,CY,1998,2021.58669,304.02,,12584.35309,41.39317508,19.79925753,27.63646363,8.112195793,2451.670562,355.974151,,581451,0,914660,13758.5038
1998,EA19,1998,1643391.234,135642.28,,8427004.65,62.12668093,24179.17151,60815.67685,16359.10916,,259193.1734,,227490826,,,
1998,HR,1998,8035.420161,1551.4,,34652.06945,22.33599939,64.97725796,250.389108,29.16421113,6820.569903,1938.740046,,2983495,0,4532135,7645.859942
1998,RO,1998,10760.96775,10990.1,,90484.36317,8.233261133,7.81230927,29.29615976,13.42740656,16995.92295,1643.026293,,20432237,0,22507344,4020.215054
1998,HU,1998,16025.417,4011.14,,76619.1863,19.10159862,79.60462448,605.2422558,371.5470832,4451217.015,2695.084282,17.99167,7801896,1,10266570,7462.978025
1998,EE,1998,2367.933899,607.4,,11440.08488,18.83451578,45.82806574,72.01553188,18.73758353,3608.252664,605.9237854,13.87167,1251814,1,1386156,8253.100575
1998,LT,1998,5115.715187,1494.4,,19763.64138,13.22513476,33.70919413,34.69484308,1.971297903,6130.998125,500.1182779,,2701934,1,3549331,5568.272269
1998,EL,1998,29660.08196,4297.27,8.481666667,169508.9051,39.44571905,805.1381738,614.4268152,257.1713775,,8626.799412,13.91549,9060512,,,
1998,PT,1998,28816.15253,4858.13,4.879166667,161589.1207,33.26158845,552.5789451,1019.606698,487.3206126,44459.13106,8244.010687,,9275077,0,10160196,15904.1342
1998,IE,1998,18563.80693,1593.11,4.796666667,119397.2761,74.94603393,438.8161892,732.2495072,296.3972909,26850.01205,3254.294056,5.425833,3050290,1,3712696,32159.18462
1998,FI,1998,32936.59919,2207.8,4.7875,160084.2314,72.50848417,291.0661283,532.7967484,39.84276814,35774.25997,6590.769313,3.568333,3789700,1,5153498,31063.21792
1998,NO,1998,55603.13642,2280,5.4,260336.9382,114.1828676,657.967007,2449.099415,584.4807667,584139.8511,12010.83354,5.785,3344000,1,4431464,58747.38872
1998,SE,1998,76426.83398,4067.1,4.989166667,301206.3567,74.05924534,152.6812778,1043.821024,239.2505644,560460.0397,12906.43282,4.1875,6738200,1,8850974,34030.87126
1998,IT,1998,275919.8879,22341.4,4.882306667,1574125.066,70.45776298,2522.546272,11125.37115,2574.992369,307920.3319,43877.82002,4.991667,41848412,0,56906744,27661.48536
1998,LU,1998,4804.353143,239.93,4.727666667,31453.20197,131.0932437,93.10694197,290.1512769,100.9677532,6704.178458,1524.822695,,383538,1,424700,74059.81156
